Haptic_Factor,Auditory_Factor,response,SE,df,lower.CL,upper.CL
No,No,44.63889734842371,1.7417501260437014,36.54774302516974,41.06453975265228,48.1292783879655
Yes,No,64.89803076133707,1.8509447184467211,33.46437425891973,61.10043964416434,68.63005165089062
No,Yes,71.70848043194731,1.240060092474964,39.21233215022711,69.1872488060767,74.20338814684368
Yes,Yes,80.67292992853508,1.5878740428001028,34.246348460460595,77.427059695582,83.88007295962544
