Visual_Factor,Auditory_Factor,response,SE,df,lower.CL,upper.CL
Baseline,No,54.02201454032278,2.024460469442633,80.70467703174297,49.94679813542033,58.00692356975807
Flashing,No,57.59604832766412,2.0008168817246017,82.22607776157962,53.57309270634808,61.536339211636
Transparent,No,50.897691898155635,2.076279373666475,82.58717778942427,46.71517093237887,54.9794220808666
Transparent_Flashing,No,57.5994580633783,1.9756602598057615,79.24867797009769,53.62538560227634,61.49284931331665
Baseline,Yes,76.93675237051714,1.6373072639371833,102.05063543072869,73.66814046134957,80.16421099954438
Flashing,Yes,75.4909788477016,1.6466520023750735,102.05063543072869,72.20317069371023,78.73636397152383
Transparent,Yes,76.26994483368469,1.6415885487179622,102.05063543072869,72.99254029055274,79.50561826185422
Transparent_Flashing,Yes,76.22133647887391,1.6419025439252841,102.05063543072869,72.94328693209134,79.45761227275773
