grp,var1,var2,vcov,sdcor
Participant_ID,(Intercept),NA,367.38044177126875,19.16717093812409
Participant_ID,Auditory_Factor1,NA,124.37509565048089,11.152358299950773
Participant_ID,Haptic_Factor1,NA,89.2563704467264,9.447558967623669
Participant_ID,(Intercept),Auditory_Factor1,53.29183833818431,0.24930786059478727
Participant_ID,(Intercept),Haptic_Factor1,-109.38850431255119,-0.6040794431025138
Participant_ID,Auditory_Factor1,Haptic_Factor1,4.357643182763829,0.041358553479211975
Residual,NA,NA,1407.8271079827823,37.52102221399068
