contrast,delta_rt_s,speed_kmh,delta_distance_m
Baseline - Flashing,0.01431619469122733,90,0.35790486728068327
Baseline - Transparent,-0.019598571293119947,90,-0.48996428232799866
Baseline - Transparent_Flashing,-0.005613732601662487,90,-0.14034331504156217
Flashing - Transparent,-0.03391476598434728,90,-0.8478691496086819
Flashing - Transparent_Flashing,-0.019929927292889817,90,-0.49824818232224544
Transparent - Transparent_Flashing,0.01398483869145746,90,0.3496209672864365
