"DV","Visual_Factor","Auditory_Factor","Haptic_Factor","response","SE","df","lower.CL","upper.CL"
"PUPIL","Transparent","Yes","No",3.50303627156168,0.0827960680000294,62.579210210153,3.34140732675538,3.67248345378849
"PUPIL","Transparent_Flashing","Yes","No",3.42212065485636,0.0808791985287166,62.5683140698549,3.26423296461807,3.58764521507269
"PUPIL","Baseline","No","Yes",3.3491721014547,0.0797614281018198,64.3876090419745,3.19357899998055,3.51234579298986
"PUPIL","Flashing","No","Yes",3.47271548565213,0.0794432241052738,55.323500091013,3.3171220212928,3.63560724232508
"PUPIL","Transparent","No","Yes",3.64096211566039,0.0860297314601379,62.5158033633485,3.47301614952558,3.81702950891405
"PUPIL","Transparent_Flashing","No","Yes",3.64404218461352,0.0849219986745369,59.3382968526746,3.47803417091121,3.8179738296717
"PUPIL","Baseline","Yes","Yes",3.37948111879556,0.0798021577290732,62.3954722798543,3.22368449229234,3.54280720076745
"PUPIL","Flashing","Yes","Yes",3.38121339518041,0.0811695639543087,66.3448202846126,3.22299054718367,3.54720370921891
"PUPIL","Transparent","Yes","Yes",3.38386909872695,0.0793890067443342,60.8618559824375,3.22878015272271,3.54640747765477
"PUPIL","Transparent_Flashing","Yes","Yes",3.38113722290199,0.0805250946761553,64.3942029940309,3.22405482476205,3.54587298959382
"RT","Baseline","No","No",0.980859343332178,0.0298552701275147,46.3498600195572,0.922751659401757,1.04301749711368
"RT","Flashing","No","No",0.967148224285077,0.0296315856550158,47.8462166082467,0.90953512275171,1.02880114768685
"RT","Transparent","No","No",1.05289123310325,0.0324664238860301,47.4881312506631,0.989767961616706,1.12047110299606
"RT","Transparent_Flashing","No","No",0.954046918526604,0.0287133683057014,44.8991541609026,0.898094105768914,1.0138582097955
"RT","Baseline","Yes","No",0.845457173243954,0.0236532970096322,47.1183450416043,0.799316264276906,0.894544875024705
"RT","Flashing","Yes","No",0.829664877101038,0.0229577120929499,45.490288096092,0.784824935189297,0.877339000297466
"RT","Transparent","Yes","No",0.888327945579345,0.0247953811321964,45.8231764524715,0.839920822388106,0.939821610506567
"RT","Transparent_Flashing","Yes","No",0.828481884889058,0.0229540948808137,45.7699875869405,0.783657979285084,0.876142180611742
"RT","Baseline","No","Yes",0.912290611359496,0.028973161092283,40.0412004771212,0.855750648177023,0.972966960206369
"RT","Flashing","No","Yes",0.877681373713987,0.0281010410246298,41.9909660556403,0.822935166247628,0.936460498924493
"RT","Transparent","No","Yes",0.881980176836365,0.0280425443654136,40.7870341128148,0.827288485586143,0.940675412328577
"RT","Transparent_Flashing","No","Yes",0.938401034376151,0.0301314256515825,41.3615148227803,0.879679592676869,1.00146313501623
"RT","Baseline","Yes","Yes",0.799104392658914,0.0236735483225239,43.0044347895266,0.752894282071677,0.848453523041752
"RT","Flashing","Yes","Yes",0.811039248857578,0.0239902121597142,42.4698049537585,0.764192189366854,0.861064740286001
"RT","Transparent","Yes","Yes",0.792588659295642,0.023367059637332,42.3290912394227,0.746949293889858,0.841314268140265
"RT","Transparent_Flashing","Yes","Yes",0.833061464690544,0.0247198504141154,42.5811689593397,0.784798130980517,0.884609802799812
"SUS","Baseline","No","No",45.1413055314089,2.6084582419348,158.238750375573,39.8953640676154,50.209957338245
"SUS","Flashing","No","No",49.2687379316063,2.58308181433856,163.131569247339,44.084212318492,54.294188885023
"SUS","Transparent","No","No",39.9701867003005,2.79572135628657,169.20213240873,34.3275197412705,45.3825285613575
"SUS","Transparent_Flashing","No","No",44.0277796015567,2.6284322210789,158.088834095393,38.7382656831289,49.1326591208563
"SUS","Baseline","Yes","No",72.1768267095342,2.05725413545155,215.589631700492,68.0866815173106,76.198546682782
"SUS","Flashing","Yes","No",71.2579130289815,2.06517733280872,215.589631700492,67.1514020008099,75.294578672457
"SUS","Transparent","Yes","No",71.6274577792361,2.06197510726878,215.589631700492,67.5275627294647,75.6580842841584
"SUS","Transparent_Flashing","Yes","No",71.7708189279841,2.0607386130075,215.589631700492,67.6734779662157,75.7991130401893
"SUS","Baseline","No","Yes",62.4827471451838,2.56671627035641,108.808472277045,57.3305001678817,67.5104152077014
"SUS","Flashing","No","Yes",65.5755070954159,2.53044675314269,108.788120544448,60.50010993784,70.5355664500471
"SUS","Transparent","No","Yes",61.1570947979778,2.5520337530055,104.863125515254,56.0310508812287,66.1571942132509
"SUS","Transparent_Flashing","No","Yes",70.2640106986138,2.44793897618506,104.863125515253,65.3578779896165,75.0693642309088
"SUS","Baseline","Yes","Yes",81.6098618147192,2.23888524480557,123.689166429709,77.1411874698603,86.0062634553992
"SUS","Flashing","Yes","Yes",79.6539603599423,2.25523817755127,123.689166429709,75.1514087766156,84.0813733457898
