Parameter,Eta2_partial,CI,CI_low,CI_high
Visual_Factor,0.10875988738690456,0.95,0.059768320606695353,1
Auditory_Factor,0.11831649254278385,0.95,0.0718949375684865,1
Haptic_Factor,0.01024584631327359,0.95,0,1
Visual_Factor:Auditory_Factor,0.07777737101884105,0.95,0.035490877706217894,1
Visual_Factor:Haptic_Factor,0.010265980507037236,0.95,0,1
Auditory_Factor:Haptic_Factor,3.3877073889998376e-5,0.95,0,1
Visual_Factor:Auditory_Factor:Haptic_Factor,0.012715125678078382,0.95,0,1
