Visual_Factor,Auditory_Factor,response,SE,df,lower.CL,upper.CL
Baseline,No,3.3664262278720503,0.07204862866766351,42.71249727820283,3.2241902747485964,3.514936955322374
Flashing,No,3.4461381469172396,0.07272547146618097,40.43425387320712,3.3022920494355805,3.596250104429128
Transparent,No,3.640542322567684,0.07744989699285985,41.72669016731632,3.4875207715969285,3.8002779826706914
Transparent_Flashing,No,3.673912598954268,0.07815197803669276,41.696165579831366,3.519500281975167,3.8350995037227107
Baseline,Yes,3.3986584734793626,0.0735474944906537,44.597922675169535,3.25367273416079,3.5501048701298954
Flashing,Yes,3.359801663100992,0.0725591417261767,44.23022119797514,3.2167255884326056,3.5092415890149207
Transparent,Yes,3.442937145963784,0.07385759806211567,43.08542884375006,3.297173207682433,3.5951451271767536
Transparent_Flashing,Yes,3.401567216357278,0.073350088156992,43.960121765764505,3.256902355865437,3.552657790479567
