Parameter,Eta2_partial,CI,CI_low,CI_high
Visual_Factor,0.015897324714830463,0.95,0,1
Auditory_Factor,0.7479281700972753,0.95,0.6026445826652937,1
Haptic_Factor,0.7064504379500919,0.95,0.5436426959840742,1
Visual_Factor:Auditory_Factor,0.02965363809482554,0.95,0.003964030011288075,1
Visual_Factor:Haptic_Factor,0.003209815364771424,0.95,0,1
Auditory_Factor:Haptic_Factor,0.12327044913180453,0.95,0.07579655661745725,1
Visual_Factor:Auditory_Factor:Haptic_Factor,0.009163371093241732,0.95,0,1
