Parameter,Eta2_partial,CI,CI_low,CI_high
Visual_Factor,0.010647086323145209,0.95,0,1
Auditory_Factor,0.6280092882533506,0.95,0.4348570773663367,1
Haptic_Factor,0.046479439335671835,0.95,0.0186955201395932,1
Visual_Factor:Auditory_Factor,0.03723703126816292,0.95,0.009164603073929892,1
Visual_Factor:Haptic_Factor,0.013523013391439057,0.95,0,1
Auditory_Factor:Haptic_Factor,0.05050455760697009,0.95,0.02137254446595573,1
Visual_Factor:Auditory_Factor:Haptic_Factor,0.03670953774235866,0.95,0.00885385942539489,1
