effect,metric,estimate,ci_lower,ci_upper
Visual_Factor,partial_eta2,0.0106470863231452,0,1
Auditory_Factor,partial_eta2,0.6280092882533506,0.4348570773663367,1
Haptic_Factor,partial_eta2,0.04647943933567183,0.0186955201395932,1
Visual_Factor:Auditory_Factor,partial_eta2,0.03723703126816292,0.00916460307392989,1
Visual_Factor:Haptic_Factor,partial_eta2,0.01352301339143905,0,1
Auditory_Factor:Haptic_Factor,partial_eta2,0.05050455760697009,0.02137254446595573,1
Visual_Factor:Auditory_Factor:Haptic_Factor,partial_eta2,0.03670953774235866,0.00885385942539489,1
Model,R2_marginal,0.1804562549580595,NA,NA
Model,R2_conditional,0.5295156274537126,NA,NA
