term,power,lower,upper,nsim
Visual_Factor,0.999,0.9944410757201734,0.9999746825125088,1000
Auditory_Factor,1,0.9963179161031344,1,1000
Haptic_Factor,0.992,0.9842979508239253,0.9965400238346707,1000
Visual_Factor:Auditory_Factor,0.996,0.9897903353160701,0.9989090920122741,1000
Visual_Factor:Haptic_Factor,0.966,0.9528105613842925,0.9763413518924032,1000
Auditory_Factor:Haptic_Factor,1,0.9963179161031344,1,1000
Visual_Factor:Auditory_Factor:Haptic_Factor,0.929,0.9112835591132127,0.9441353517501025,1000
