Parameter,Eta2_partial,CI,CI_low,CI_high
Visual_Factor,0.09279643356097834,0.95,0.04691813845270646,1
Auditory_Factor,0.0730499377426272,0.95,0.03610672407027693,1
Haptic_Factor,0.002851120986942604,0.95,0,1
Visual_Factor:Auditory_Factor,0.056780006125864466,0.95,0.020352588906434706,1
Visual_Factor:Haptic_Factor,0.008978328768006026,0.95,0,1
Auditory_Factor:Haptic_Factor,0.001051542024437918,0.95,0,1
Visual_Factor:Auditory_Factor:Haptic_Factor,0.0034698392865590215,0.95,0,1
