Haptic_Factor,Visual_Factor,response,SE,df,lower.CL,upper.CL
No,Baseline,0.9103939786710781,0.024324095334133652,37.19644539450249,0.8625531977676104,0.9611697633964857
Yes,Baseline,0.85363674787406,0.024425982836420616,34.79857642571149,0.8055878894025469,0.9048568693946428
No,Flashing,0.8955095972468188,0.02387534642653005,37.154568491862165,0.8485467500029026,0.9453473656970067
Yes,Flashing,0.8436368172202475,0.02418286590393603,35.2068493725344,0.7960880724854812,0.8943282383191286
No,Transparent,0.9667665479987605,0.025973346836434326,37.15340488629137,0.9156883908362926,1.0209963298959515
Yes,Transparent,0.8359712520452116,0.0238747037410118,34.82755179722531,0.7890053549957579,0.8860307136797959
No,Transparent_Flashing,0.8888291059413236,0.023570445602627152,36.488025818554334,0.8424310720736561,0.9380536205160601
Yes,Transparent_Flashing,0.8840071876386695,0.02542787055041505,35.04223382051338,0.8340078754298835,0.9373235360556703
