grp,var1,var2,vcov,sdcor
Participant_ID,(Intercept),NA,0.01987046922973919,0.14096265189666088
Participant_ID,Auditory_Factor1,NA,8.574431207965177e-4,0.02928212971756866
Participant_ID,Haptic_Factor1,NA,4.918224685980685e-4,0.02217707078489106
Participant_ID,(Intercept),Auditory_Factor1,7.973347902857383e-4,0.19316747038137294
Participant_ID,(Intercept),Haptic_Factor1,-0.00100676863694175,-0.32204861351762903
Participant_ID,Auditory_Factor1,Haptic_Factor1,-9.655124694072388e-5,-0.14867948363794622
Residual,NA,NA,0.029024065743398404,0.17036450846170514
