contrast,Auditory_Factor,estimate,SE,df,t.ratio,p.value
No - Yes,No,0.09128841601458544,0.013440618523734352,62.988940730395356,6.7919802837482655,4.602604473795614e-9
No - Yes,Yes,0.0477754962047401,0.01293683293601809,55.814464080061725,3.6929823892002136,5.056139861519684e-4
