Parameter,Eta2_partial,CI,CI_low,CI_high
Visual_Factor,0.0051548979162758185,0.95,6.458602959754948e-4,1
Auditory_Factor,0.7823748712218522,0.95,0.6545806443529226,1
Haptic_Factor,0.5893846813062275,0.95,0.38063004366913816,1
Visual_Factor:Auditory_Factor,8.040240052362154e-4,0.95,0,1
Visual_Factor:Haptic_Factor,0.022157940434380536,0.95,0.012179488828553808,1
Auditory_Factor:Haptic_Factor,0.004095780273239959,0.95,8.187196227235051e-4,1
Visual_Factor:Auditory_Factor:Haptic_Factor,0.0014058423691602154,0.95,0,1
