contrast,Visual_Factor,estimate,SE,df,t.ratio,p.value
No - Yes,Baseline,0.0651884423287507,0.016717430052131787,149.0565630499721,3.899429644716112,1.4539716688376602e-4
No - Yes,Flashing,0.06051340150477376,0.016848844749341355,154.92332958164994,3.5915460320885986,4.408441451590384e-4
No - Yes,Transparent,0.14692020404376188,0.01674057065179897,153.09373910412214,8.776296047469183,3.1107938622257686e-15
No - Yes,Transparent_Flashing,0.005505776561364736,0.016592225022760306,147.45216591732662,0.33182870614472826,0.7404897950496534
