Visual_Factor,Auditory_Factor,response,SE,df,lower.CL,upper.CL
Baseline,No,0.943187582423786,0.0057228870516729535,66.29230205018649,0.9306226520929284,0.9535903630555671
Flashing,No,0.9483652369604562,0.005229879039220052,66.29230205018649,0.93686877653773,0.9578623058406203
Transparent,No,0.9410253252904994,0.005927078720565219,66.2923020501862,0.9280186749585493,0.9518037999468781
Transparent_Flashing,No,0.9242086552818068,0.007481065784371417,66.29230205018649,0.90785631461309,0.9378576560138486
Baseline,Yes,0.9635478756076565,0.004253091854167953,53.668774161432935,0.9539909949913262,0.971179595362145
Flashing,Yes,0.9616172275123717,0.004469379136795968,53.668774161432935,0.9515796130044746,0.9696404174374729
Transparent,Yes,0.9609605682360906,0.004542737849557816,53.668774161432935,0.9507600216988511,0.9691166119926833
Transparent_Flashing,Yes,0.9662148143191869,0.003952834419091626,53.668774161432935,0.9573261749662377,0.9733036462834219
