DV,age_26plus_est,age_26plus_SE,age_26plus_t,age_26plus_p,age_26plus_q,baseline_trust_c_est,baseline_trust_c_SE,baseline_trust_c_t,baseline_trust_c_p,baseline_trust_c_q,Focal_effects_unchanged,Notes
RT,-0.18696413768966402,0.10121145818041324,-1.8472625634579178,0.07716898377565612,0.07716898377565612,-4.366247562166725e-4,0.028376147611527004,-0.015387034286476085,0.9878506082068108,0.9878506082068108,Yes,协变量估计不可识别/协方差非正定：使用ML-LRT计算p；SE/t为NA；baseline_trust 两阶段后备（主体截距LM）
TRUST,-0.30193503140643885,1.5276047738332972,-0.1976525843453459,0.8449189426081833,0.8449189426081833,0.3712624844675701,0.3959720552941716,0.9375976903010377,0.35779147084273444,0.7155829416854689,Yes,协变量估计不可识别/协方差非正定：使用ML-LRT计算p；SE/t为NA；baseline_trust 两阶段后备（主体截距LM）
SUS,-8.559028529395723,14.551334479502565,-0.5881954360579246,0.5616992439043711,0.5616992439043711,0.20915526387255223,3.3310393209638858,0.0627897913291609,0.9504539153468681,1,Yes,协变量估计不可识别/协方差非正定：使用ML-LRT计算p；SE/t为NA；baseline_trust 两阶段后备（主体截距LM）
DALI,-2.1656173164672308,2.4019282880967974,-0.901616141996974,0.3758654523305608,0.3758654523305608,-0.36019985500425844,0.619607126779171,-0.5813358811359094,0.5664344296594811,0.7696628272005199,Yes,协变量估计不可识别/协方差非正定：使用ML-LRT计算p；SE/t为NA；baseline_trust 两阶段后备（主体截距LM）
NDRT,0,0,NA,NA,NA,-0,0,NA,NA,NA,Yes,NDRT两阶段后备：先拟合基础随机截距模型，再对主体截距做LM回归
DURVISIT,0.02823332035413514,0.21978823075523077,0.12845692536456807,0.8988651783904181,0.8988651783904181,0.009721657238599994,0.046753490589178444,0.20793436203563734,0.8370346494897373,1,Yes,协变量估计不可识别/协方差非正定：使用ML-LRT计算p；SE/t为NA；baseline_trust 两阶段后备（主体截距LM）
PUPIL,0.014117961807860327,0.0800857233373129,0.17628562519685204,0.8614996049950623,0.8614996049950623,0.0022322103859126496,0.021221598592936885,0.10518577929636219,0.9171025749676693,1,Yes,协变量估计不可识别/协方差非正定：使用ML-LRT计算p；SE/t为NA；baseline_trust 两阶段后备（主体截距LM）
