term,power,lower,upper,nsim
Visual_Factor,0.898,0.877554848934442,0.9160645399595132,1000
Auditory_Factor,1,0.9963179161031344,1,1000
Haptic_Factor,1,0.9963179161031344,1,1000
Visual_Factor:Auditory_Factor,0.809,0.7832406199865389,0.8329252149458908,1000
Visual_Factor:Haptic_Factor,0.521,0.4895144677688219,0.5523615687672607,1000
Auditory_Factor:Haptic_Factor,0.996,0.9897903353160701,0.9989090920122741,1000
Visual_Factor:Auditory_Factor:Haptic_Factor,0.345,0.31552992327567253,0.3753860023048645,1000
