Parameter,Eta2_partial,CI,CI_low,CI_high
Visual_Factor,0.016051974580111428,0.95,0,1
Auditory_Factor,0.8749648597887039,0.95,0.7946421928669547,1
Haptic_Factor,0.778158517125682,0.95,0.6500093245260914,1
Visual_Factor:Auditory_Factor,0.02344818560746553,0.95,9.607878201815195e-4,1
Visual_Factor:Haptic_Factor,0.009798619994203006,0.95,0,1
Auditory_Factor:Haptic_Factor,0.06042087902805731,0.95,0.027181193697446104,1
Visual_Factor:Auditory_Factor:Haptic_Factor,0.009864567936290683,0.95,0,1
