contrast,Auditory_Factor,estimate,SE,df,t.ratio,p.value
No - Yes,No,-67.24432087557643,6.125908320025649,66.47830450068236,-10.97703676951125,1.423050960863556e-16
No - Yes,Yes,-32.88831108718239,5.946817176098757,61.42996847468706,-5.530405612495699,6.957593089552443e-7
