Haptic_Factor,Auditory_Factor,response,SE,df,lower.CL,upper.CL
No,No,21.927769724209455,0.8308730808707587,31.449818426595222,20.240854276252147,23.627774541286406
Yes,No,16.827771909275278,0.8556850871260143,31.176700440087718,15.09229856984821,18.581358044672633
No,Yes,15.750717025141968,0.8036287916840028,31.451132618269042,14.121422742873056,17.397067917954793
Yes,Yes,14.250440307334227,0.8936788963793582,30.91854664869884,12.439655122015978,16.084586375768083
