term,power,lower,upper,nsim
Visual_Factor,0.556,0.5245783618666926,0.5870910318851419,1000
Auditory_Factor,1,0.9963179161031344,1,1000
Haptic_Factor,1,0.9963179161031344,1,1000
Visual_Factor:Auditory_Factor,0.448,0.41687029273190945,0.4794366932377484,1000
Visual_Factor:Haptic_Factor,0.163,0.14062554035964026,0.18737814378448903,1000
Auditory_Factor:Haptic_Factor,0.999,0.9944410757201734,0.9999746825125088,1000
Visual_Factor:Auditory_Factor:Haptic_Factor,0.143,0.12187864287589156,0.16624715659672173,1000
