contrast,Auditory_Factor,estimate,SE,df,t.ratio,p.value,adjust_method
No - Yes,No,3.7929598830026614,0.3680384213202881,87.5960150797071,10.3058802105387,8.92992949333003e-17,HOLM
No - Yes,Yes,1.1444069724483072,0.3680384213202881,87.59601507970659,3.109476908261105,0.00252863326718784,HOLM
