effect,metric,estimate,ci_lower,ci_upper
Visual_Factor,partial_eta2,0.0076966316904821,0,1
Auditory_Factor,partial_eta2,0.630227511439345,0.43780222787597334,1
Haptic_Factor,partial_eta2,0.733935549382319,0.582627827525078,1
Visual_Factor:Auditory_Factor,partial_eta2,0.01329971881619316,0,1
Visual_Factor:Haptic_Factor,partial_eta2,0.00283502769049992,0,1
Auditory_Factor:Haptic_Factor,partial_eta2,0.07277406134388094,0.03613121245990892,1
Visual_Factor:Auditory_Factor:Haptic_Factor,partial_eta2,0.00292765616429042,0,1
Model,R2_marginal,0.21530864846380884,NA,NA
Model,R2_conditional,0.6821856160323706,NA,NA
