contrast,Auditory_Factor,estimate,SE,df,t.ratio,p.value
No - Yes,No,3.7929598830026614,0.3680384213202881,87.5960150797071,10.3058802105387,8.929929493330031e-17
No - Yes,Yes,1.1444069724483072,0.3680384213202881,87.59601507970659,3.109476908261105,0.0025286332671878415
