term,power,lower,upper,nsim
Visual_Factor,1,0.9963179161031344,1,1000
Auditory_Factor,1,0.9963179161031344,1,1000
Haptic_Factor,0.595,0.563831763661966,0.6256072456340388,1000
Visual_Factor:Auditory_Factor,1,0.9963179161031344,1,1000
Visual_Factor:Haptic_Factor,0.693,0.6633741575387281,0.7214846146935102,1000
Auditory_Factor:Haptic_Factor,0.457,0.42579062032187653,0.48846322441830337,1000
Visual_Factor:Auditory_Factor:Haptic_Factor,0.505,0.47353596131499687,0.536434524079906,1000
