Visual_Factor,Auditory_Factor,response,SE,df,lower.CL,upper.CL
Baseline,No,305.34081880107016,26.600347422343827,140.69742130503641,257.0321645134949,362.72898297603126
Flashing,No,387.0613048042918,32.78918287594047,129.40353718717836,327.33397982694237,457.6868364109559
Transparent,No,338.0563559314794,28.88590027190561,132.89398647747615,285.4881516947287,400.30417762440965
Transparent_Flashing,No,675.3456096806233,56.53295604629374,124.67823503086287,572.2343299442387,797.0365786326322
Baseline,Yes,269.70718001023033,24.33072064306722,156.0859814543095,225.68579414801633,322.3152047459526
Flashing,Yes,291.5540239335755,26.11589366315219,151.98944692043227,244.26478723771942,347.99837435894483
Transparent,Yes,279.5519925634471,24.51372468238597,142.50802523890687,235.06178396818393,332.4628751935756
Transparent_Flashing,Yes,294.51193724298645,26.24148157949755,148.76773430852808,246.9661719770031,351.21118201845695
