Haptic_Factor,Auditory_Factor,response,SE,df,lower.CL,upper.CL
No,No,3.7982330561463487,0.21987049627146868,30.446261753272413,3.3304705444039318,4.2311608048459455
Yes,No,5.0588865669984795,0.17158206026403364,30.522151929889763,4.700394155461687,5.40156688571124
No,Yes,5.673443162166237,0.1240410704495412,31.570382770482173,5.41685312540374,5.922700412354528
Yes,Yes,6.002961521681224,0.13729320075882923,30.882263660649933,5.718501431761237,6.278915122094496
