Visual_Factor,Auditory_Factor,response,SE,df,lower.CL,upper.CL
Baseline,No,4.368979914947513,0.19970237764768403,38.57987254079591,3.9518080220771274,4.761700754429243
Flashing,No,4.483987173884437,0.1975509085935403,39.4930950197908,4.072131746268385,4.8725751495687115
Transparent,No,4.280631397331607,0.20276521862058816,38.86883642075965,3.856644148573648,4.678891505037562
Transparent_Flashing,No,4.690273915964084,0.19105007256964346,38.853263487382364,4.292729410308294,5.067010872892001
Baseline,Yes,5.80515595674232,0.13711130431207136,45.411271376171584,5.524637918996443,6.077124552825129
Flashing,Yes,5.757808224528036,0.1374754103756843,44.95512743964839,5.476415567320355,6.030530149064782
Transparent,Yes,5.946527504418661,0.13462352909615416,44.95512743964827,5.671208818479665,6.213796774739333
Transparent_Flashing,Yes,5.848283730982492,0.13608921834957136,44.95512743964827,5.569845740032484,6.118357151465373
